´ë¿©¼Ò_ID,nearest_subway_dist_m,nearest_bus_dist_m
ST-350,193.41,180.82
ST-35,212.62,40.35
ST-349,530.9,79.47
ST-348,787.47,86.38
ST-347,561.5,46.32
ST-346,816.39,19.67
ST-345,692.46,100.68
ST-344,456.33,246.81
ST-343,581.82,249.32
ST-342,376.39,123.46
ST-341,483.43,15.04
ST-3408,511.16,69.08
ST-3407,68.84,95.32
ST-3406,285.2,44.22
ST-3405,149.26,46.14
ST-3404,446.96,118.51
ST-3403,106.74,219.07
ST-3402,166.54,210.38
ST-3401,82.31,45.61
ST-3400,102.33,134.82
ST-340,810.61,149.86
ST-34,252.96,86.97
ST-3399,771.72,64.18
ST-3398,471.04,16.44
ST-3397,342.9,82.0
ST-3396,82.76,37.22
ST-3394,686.15,240.37
ST-3393,572.21,168.61
ST-3392,94.9,10.99
ST-3391,689.87,644.39
ST-3390,217.43,169.62
ST-339,838.7,175.06
ST-3389,784.31,248.22
ST-3388,1181.82,306.41
ST-3386,448.72,58.89
ST-3385,976.35,50.65
ST-3384,479.07,105.9
ST-3383,478.4,388.56
ST-3382,242.14,25.48
ST-3381,117.93,59.05
ST-3380,161.89,45.63
ST-338,307.68,49.23
ST-3379,412.41,11.51
ST-3378,107.79,118.01
ST-3377,334.29,277.21
ST-3376,878.91,156.95
ST-3375,822.93,92.76
ST-3374,628.58,72.59
ST-3373,1174.11,57.26
ST-3372,174.98,268.55
ST-3371,313.88,146.69
ST-3370,534.37,39.36
ST-337,708.11,61.95
ST-3369,406.21,88.13
ST-3368,158.85,77.99
ST-3367,726.96,60.83
ST-3366,1293.87,258.86
ST-3365,159.82,39.84
ST-3364,988.79,50.48
ST-3363,688.57,280.34
ST-3362,258.81,38.86
ST-3361,273.53,26.87
ST-3360,570.48,29.4
ST-336,43.0,54.76
ST-3359,17.15,68.29
ST-3358,1060.81,56.42
ST-3357,485.71,164.87
ST-3356,442.22,33.52
ST-3355,316.27,170.0
ST-3354,677.44,10.56
ST-3353,948.7,17.42
ST-3352,285.8,310.6
ST-3351,722.61,334.11
ST-3350,218.28,109.12
ST-335,552.9,4.51
ST-3349,1286.58,11.32
ST-3348,223.22,33.34
ST-3347,698.41,18.05
ST-3346,318.48,16.85
ST-3345,300.66,35.94
ST-3344,584.3,82.29
ST-3343,243.53,52.44
ST-3342,316.61,54.52
ST-3341,184.33,153.57
ST-3340,92.84,21.44
ST-334,68.77,141.36
ST-3339,604.63,31.61
ST-3338,669.46,91.4
ST-3337,233.03,165.9
ST-3336,115.41,299.22
ST-3335,769.87,200.3
ST-3334,604.25,10.15
ST-3333,105.12,12.92
ST-3332,312.83,88.4
ST-3331,581.14,67.24
ST-3330,487.59,2.28
ST-333,329.86,71.57
ST-3329,743.81,130.85
ST-3328,805.5,57.26
ST-3327,254.73,57.71
ST-3326,203.82,64.54
ST-3325,24.12,111.77
ST-3324,328.15,160.39
ST-3323,458.47,111.09
ST-3322,348.38,36.35
ST-3321,252.74,109.43
ST-3320,547.42,127.0
ST-332,124.45,23.49
ST-3319,436.86,134.94
ST-3318,345.51,175.83
ST-3317,255.27,79.26
ST-3316,164.53,46.52
ST-3315,286.68,120.97
ST-3314,329.39,51.82
ST-3313,394.63,207.85
ST-3312,921.86,197.83
ST-3311,132.23,47.32
ST-3310,151.02,97.79
ST-331,414.56,63.7
ST-3309,684.67,25.17
ST-3308,386.51,40.47
ST-3307,730.77,52.67
ST-3306,189.74,68.14
ST-3305,248.75,85.59
ST-3304,90.18,103.41
ST-3303,489.79,10.28
ST-3302,427.96,84.46
ST-3301,249.39,64.61
ST-3300,661.03,403.4
ST-330,173.42,53.65
ST-33,132.79,32.84
ST-3299,373.15,106.06
ST-3298,839.11,117.0
ST-3297,16.35,10.62
ST-3296,930.67,63.72
ST-3295,740.36,151.55
ST-3294,1045.65,109.12
ST-3293,1467.67,126.13
ST-3292,829.41,142.85
ST-3291,351.83,45.87
ST-3290,98.01,50.57
ST-329,146.54,16.68
ST-3289,174.83,121.43
ST-3288,42.11,43.96
ST-3287,111.5,82.91
ST-3286,226.09,68.7
ST-3285,1099.29,69.19
ST-3284,1379.65,20.65
ST-3283,640.75,37.75
ST-3282,519.75,70.35
ST-3281,343.25,50.34
ST-3280,733.9,106.01
ST-328,60.28,149.81
ST-3279,342.61,71.84
ST-3278,509.57,55.83
ST-3277,960.01,564.18
ST-3276,274.04,39.71
ST-3275,428.72,445.48
