"구분별(1)",구분별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"구분별(1)",구분별(2),통근통학함 (%),통근·통학 평균 소요 시간(편도 기준) (분),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근 통학 지역 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%),통근· 통학시 교통수단 (%)
"구분별(1)",구분별(2),소계,소계,거주시군내,도내다른 시군,서울,인천,타 시도,승용차,버스,전철 지하철,택시,기차,걸어서,자전거,승합차,기타
"지역별",군포시,69.7,43.2,39.2,37.0,20.3,1.2,2.3,38.9,21.3,24.0,0.2,0.2,12.6,0.7,1.1,1.2
"지역별",의왕시,71.0,44.3,28.0,42.4,24.7,1.9,3.1,46.7,23.2,17.0,0.2,0.2,9.9,1.2,1.0,0.5
"지역별",하남시,71.6,40.9,38.9,12.9,45.1,0.0,3.0,42.8,20.0,19.2,0.2,0.0,14.1,2.0,1.2,0.5
"지역별",용인시,67.2,42.2,51.0,28.2,17.9,0.8,2.2,51.7,19.5,16.0,0.3,0.0,10.5,0.5,1.2,0.4
"지역별",파주시,67.7,34.4,70.0,14.3,14.4,1.2,0.1,56.5,18.7,10.0,0.2,0.0,11.7,1.0,0.9,1.0
"지역별",이천시,75.1,25.9,83.6,9.9,3.1,0.1,3.4,60.7,14.6,2.5,0.2,0.0,17.4,0.6,2.2,1.9
"지역별",안성시,69.7,27.0,75.3,15.1,3.1,0.3,6.3,64.2,15.0,0.8,0.0,0.1,15.1,0.7,2.3,1.8
"지역별",김포시,69.3,45.1,54.0,9.8,28.6,7.1,0.5,51.8,14.9,16.6,0.1,0.2,13.4,1.1,1.1,0.8
"지역별",화성시,74.3,37.6,64.8,24.6,8.0,0.5,2.1,58.2,23.2,2.5,0.3,0.3,12.5,0.9,1.5,0.6
"지역별",광주시,71.7,41.8,48.5,30.9,17.8,0.7,2.1,60.1,22.3,5.8,0.1,0.0,8.0,0.4,1.7,1.6
"지역별",양주시,67.3,38.1,58.0,19.9,20.6,0.5,1.0,61.2,16.3,9.8,0.0,0.0,9.4,0.9,1.2,1.2
"지역별",포천시,64.5,24.3,84.1,10.8,4.4,0.2,0.4,60.5,13.9,0.5,0.1,0.0,16.7,0.8,4.3,3.1
"지역별",여주시,71.5,20.3,86.2,9.8,1.7,0.0,2.3,65.8,10.7,1.0,0.0,0.0,17.9,1.4,0.5,2.7
"지역별",연천군,67.6,19.8,87.3,9.9,1.6,0.2,1.0,61.2,5.7,1.6,0.2,0.0,21.3,1.3,5.0,3.6
"지역별",가평군,68.6,20.9,85.3,5.2,5.8,0.3,3.4,57.5,5.0,2.9,0.3,0.0,30.1,1.3,2.4,0.5
"지역별",양평군,52.8,31.5,70.7,10.0,16.4,0.2,2.6,59.8,1.9,11.0,0.2,1.6,21.2,0.5,1.5,2.2
